date,price 3519,price 1323,price 212,price 2195,price 261,price 3736,price 1501,price 2027,price 419,price 2076,price 3029,price 2922,price 3511,price 3208,price 2054,price 2874,price 3504,price 519,price 2222,price 3801,price 3248,price 139,price 1884,price 3786,price 3514,price 903,price 1259,price 3760,price 2916,price 1692,price 750,price 3798,price 2509,price 328,price 951,price 202,price 402,price 1790,price 3644,price 2475,price 3510,price 3595,price 1491,price 2424,price 1035,price 373,price 1590,price 1457,price 3498,price 856
1/2/13,0.001588219,-0.002111401,-0.001163561,-0.000846548,-0.001092576,-0.001310022,-0.002058751,0.010059142,-0.000210975,-0.00028645,-0.005293479,-0.012981222,-0.00055394,-0.000761055,0.001111664,0.00050024,-0.000858548,-0.001429719,-0.006841685,0.001821282,0.002078745,0.001091294,-0.000466076,0.003217222,0.013872524,0.003065254,-0.002277468,0.000607929,0.000630209,0.00842914,-0.005601772,-0.001511931,0.002693982,-0.000963815,-0.002800784,0.001850499,0.002837785,0.002583181,-0.003646413,-0.000918075,-0.002039684,-0.000869434,7.24E-05,0.00303693,0.002654954,-0.001246641,0.00246404,0.001374736,0.000739436,-0.00022237
1/3/13,-0.000355756,0.00269869,0.006672632,0.000142402,0.002834112,0.001220384,0.002072452,0.00660018,0.002579302,0.001290038,-0.004920671,0.000315147,0.003933988,-0.005219982,0.004447519,-0.00371589,-0.003620477,-0.008747255,-0.004059009,0.003599841,0.000475373,-0.006232168,0.002592521,-0.003231326,-0.003766543,0.002393246,0.010615545,0.000469763,0.004225437,-0.001682673,0.000210892,0.000855085,-0.001158506,0.000574445,-0.000695587,-0.000850578,0.002236925,-0.003657814,-0.004660375,-0.00021463,0.000778851,-0.004182858,0.001160848,-0.000427579,-0.001136739,0.005278244,0.000172775,0.002224788,0.002094861,-0.001624603
1/4/13,0.003301433,-0.005480241,0.001716151,0.006994197,0.000521534,0.007159689,0.000508351,-0.002757163,-0.001500871,0.002750899,-0.000181444,0.002211344,0.000129343,0.008028721,-0.001165645,-0.000652311,-0.000357519,0.008914794,-0.004729179,0.000597742,-0.002122023,0.005798478,0.001183927,0.00154442,-0.001102402,0.000630351,-0.003423488,-0.00326672,0.004720762,-0.000941051,0.001716316,0.002641819,0.003587751,0.003610342,-0.002080332,-0.001392589,-4.56E-05,-0.0027951,-0.000338707,-0.005835304,-0.001211372,-0.00026678,-0.00358101,0.004773567,-0.000244954,0.004309023,-0.000154062,0.000473011,0.003574634,-0.002482004
1/5/13,0.003313027,-0.000164481,0.003008386,0.001099873,0.002310231,0.004680114,-0.002242745,-0.001073353,-0.000604615,0.0035695,-0.000803557,-0.009684594,-0.000532063,-0.00526889,-0.003700675,0.001096682,-0.004344601,-0.015027812,0.000987761,8.42E-05,-0.001832448,-0.001055804,-0.001526868,0.005564782,0.007294504,0.002300221,-0.001231951,0.001844437,0.004108775,0.003792791,-0.002492279,0.005471021,0.002694365,-0.007464806,0.008350804,0.00173728,0.001523743,8.96E-05,0.000236226,-0.000743209,0.003012896,0.000791244,0.002165453,0.00245004,-0.002529827,-0.000287577,-0.004381797,-0.000891613,-0.00031049,-0.000532267
1/6/13,0.00030978,-0.000657581,0.003460339,0.002083645,-0.000721352,7.52E-05,0.007003616,-0.002034746,0.006233003,-0.000898999,-0.000871059,0.005010389,0.000474197,-0.010454064,0.004989477,0.000929051,-0.002610716,0.012493818,-0.001101311,0.000760029,-0.00639666,-0.003218904,0.001165128,-0.000318749,-0.001439184,0.002386544,-0.002767922,-0.000238702,0.004033684,0.00344577,0.001181177,-0.001212198,0.017613122,0.001341875,0.000174221,-0.001562303,0.000675516,0.000631455,0.002402836,-0.000447625,-0.003937477,0.002961725,0.000322302,-0.00187942,0.000115445,0.009980478,-0.006715354,0.002815629,-0.00293896,-0.004909034
1/7/13,-0.001650886,0.004988664,0.000719592,0.000123397,0.006588446,0.007890591,0.007695115,0.00084445,-0.003989449,0.002241947,-0.000723245,0.003011511,0.006336216,-0.006667595,0.000113358,0.002791957,0.008322418,-0.006247195,-0.000634633,-0.001654112,-0.002071971,0.000712946,-0.002443373,0.005449871,0.003128625,-0.000637572,-0.000303495,-0.004838533,-0.001802243,0.001306361,0.002633692,-0.002668943,-0.005086982,0.00649749,0.000983781,-0.000128666,0.001799063,-0.000503108,0.001684881,-0.008902488,-0.004020921,0.000611226,0.000295415,0.000434267,-0.002235483,-0.002880031,0.001786982,-0.005563333,0.004876575,-0.000164597
1/8/13,-0.007552831,0.00388418,0.002943073,0.003129595,-0.003455854,0.00200512,0.002230003,-0.003191645,0.001272724,0.002970006,0.001311572,-0.000903972,0.000755994,0.003860379,0.002421759,-0.002302684,0.001880563,-0.006644664,0.002305786,0.005862143,0.001992969,-0.001952008,0.000295657,0.005806301,0.005220284,-0.006858414,0.003493791,-0.00036034,0.005150472,-0.005229173,0.003958215,-0.002526377,0.002415435,0.004010892,-0.00269872,-0.000300393,-0.003910442,-3.26E-05,0.000652051,0.003343473,-0.007648055,0.006264318,0.00338511,0.002483201,0.006046375,-0.002278727,-0.000455257,0.003031499,-0.001444477,-0.003659103
1/9/13,-0.003618742,-0.00392194,-0.006569016,0.001788291,0.000105525,0.006603932,-0.00393406,0.00373027,-0.001034473,-0.008248059,0.000107936,0.00088677,0.000947569,-0.000844284,-0.00022956,-0.001310014,-0.004420367,0.000946895,-0.004318186,0.002214686,0.001446476,0.000492974,0.008841107,-0.002632085,0.004450767,0.000585527,-0.001585672,-0.000368601,0.008971083,0.000376609,0.001677183,0.003564569,-0.005001945,-0.002532733,0.006821122,6.76E-05,0.004821539,0.005547283,0.007119276,-0.000882196,0.003976733,0.001837286,0.001345802,-0.005972326,0.001566261,0.000909812,0.000153911,0.004526928,0.002422545,-0.003185474
1/10/13,0.001209052,0.010307684,0.000827844,-0.005242068,-0.000423322,0.000255618,0.002897142,0.001903101,0.000174476,-0.001570099,3.63E-05,-0.000939257,0.001921585,-0.007079452,-0.001981504,-0.002912664,0.000808606,0.011649007,0.004034926,0.000201037,-0.000978601,0.004927977,-0.00645153,0.002331896,0.003599668,-0.002795662,0.000684981,0.00662759,0.00513532,-0.005362327,0.004089298,-0.004550945,0.00065596,-0.000857886,0.002392821,-0.002770037,0.003555383,0.003024779,-0.00028357,-0.012065706,-0.002964698,0.006253496,0.003005329,-0.001937056,-0.00182316,-0.003975726,0.005905869,0.00861966,-0.002969362,0.003832613
1/11/13,-0.007855,-0.000597331,0.005218745,-0.006965893,-0.001662745,-0.00901104,0.006515408,-0.002685087,0.002956134,-0.000881127,-0.000758248,0.005753445,-0.000500926,0.000366024,0.003152694,0.000337266,-0.007820072,-0.001813672,0.013310413,0.001372896,0.006668615,0.000999288,-1.82E-05,0.000288207,-0.000830892,0.011475562,4.36E-05,0.002187426,0.000946097,-3.44E-05,-0.005570359,0.007380336,-0.000741442,0.003263672,-0.001311892,-0.003728971,0.002991238,0.001619154,0.003847861,0.001141551,0.001573644,0.003233825,-0.003242867,-0.008221006,0.003791097,-0.001767532,0.000659421,-0.001192284,0.004606705,-0.000439496
1/12/13,0.003648126,0.000510658,0.001306247,-0.000584841,-0.002223181,-0.007139919,-0.005433606,-0.00450241,0.003876601,-0.00076377,-0.002566557,0.003010125,0.003592725,-0.001046448,-0.001249568,0.001713006,0.000790032,-0.004564909,0.000877615,0.002920807,-0.001835081,0.001946478,0.003732736,-0.002471513,-0.00339324,0.000802841,-0.001755703,-0.000822604,-0.003180478,0.007289912,0.006324354,-0.002819925,0.009188952,0.003207096,-0.008262397,0.004499138,-0.010542439,0.001708773,0.001622671,3.89E-05,-0.000746921,-0.000196189,0.001198056,-0.005743505,0.001645741,0.002201545,-0.002830793,0.00106057,-0.003526399,0.003694142
1/13/13,0.003202171,-0.001190355,-0.001099684,0.013289724,0.00018261,-0.000277404,0.003272348,-0.001884783,-0.001341823,-0.000487871,-0.001784165,-0.00018958,-0.002581957,-0.003646874,-0.00030628,0.006370421,-0.003340142,-0.000856167,0.000932387,0.001236862,-0.00217845,0.003611364,0.000668454,0.005902462,-0.002017574,0.000687978,-0.002609701,0.001576372,0.001307928,0.006668424,0.002147702,0.004729536,0.00490558,0.001170493,-0.004481407,0.000539401,-0.004041222,-0.000610264,0.006869365,0.001263365,-0.001872116,0.000374912,-0.000579224,0.007058256,0.000798333,-0.007163064,0.009855142,0.009990587,0.001071273,0.000520847
1/14/13,0.004955643,0.000937029,0.004323957,0.003546772,-0.001547123,0.000931143,-0.002699223,-0.003981879,0.004355294,0.001762903,-0.002773411,0.000191419,-0.000833417,-0.001776705,-0.001863138,0.000816011,-0.003991135,0.004426942,-0.004474548,-0.00559794,0.000177972,0.006305396,-0.001552499,-0.002131727,0.00280271,0.002164198,-0.001975752,0.003021387,-0.001177215,0.007103955,0.005046709,-0.001254877,0.003925611,-0.000499928,0.001635069,0.003359166,0.000865376,0.000792924,0.002435602,0.001747092,0.000925153,0.000118591,0.002344118,0.004176299,0.006248062,0.000418771,-0.000282835,-0.00740798,0.004369543,-0.004306018
