date,price 1146,price 2526,price 3021,price 3443,price 111,price 3544,price 3339,price 3817,price 187,price 1081,price 1053,price 99,price 2044,price 931,price 2563,price 2701,price 314,price 2778,price 3451,price 2142,price 2810,price 2930,price 2556,price 3985,price 2244,price 476,price 3646,price 1300,price 996,price 3841,price 42,price 1290,price 660,price 458,price 455,price 2137,price 3710,price 655,price 2333,price 1030,price 1850,price 3428,price 138,price 367,price 1214,price 1900,price 73,price 2891,price 3525,price 3965
8/31/15,-0.011688944,0.009702648,0.004460608,0.016444365,0.013259913,-0.018216696,-0.033733205,-0.003320297,-0.012851175,-0.000751977,0.010518364,0.01582415,0.004133855,0.007372411,0.024487746,0.004960193,-0.022058098,0.012453671,0.004253329,-0.011611107,-0.000745895,-0.022294704,0.009758816,0.012141854,0.003043557,-0.004403663,-0.008555489,-0.002153106,-0.000903497,0.015894719,0.020903256,-0.009440766,0.005823795,0.001790506,0.021788697,0.021021992,-0.019745748,-0.015212754,0.025267932,-0.015378806,0.001556478,0.001073523,-0.008807938,0.017974315,-0.01416915,-0.015735925,0.018403922,-0.013267118,-0.00453182,-0.000785408
9/1/15,0.011024972,0.016398343,0.00051677,0.000501746,0.020954241,-0.014083824,-0.024387546,-0.023224656,-0.017115646,-0.006442158,-0.003821511,-0.002322179,-0.006828547,-0.024123214,-0.002063094,-0.003437931,0.015916449,-0.012218667,-0.000986771,-0.012494862,0.000887309,0.00276726,0.016090117,-0.001244354,-0.005008395,0.015472411,-0.001625729,-0.013135346,0.004251329,-0.003464015,0.005998862,0.005764543,-0.026038025,-0.008875357,-0.006585394,-0.003389875,-0.002214635,0.000267462,-0.002977001,0.014652759,0.004880992,0.006730496,-0.027763572,0.024079735,0.012706959,-0.005855297,0.004032072,0.018849091,-0.000806273,-0.006164412
9/2/15,-0.00015755,-0.022474026,0.017608069,-0.002186217,-0.021351729,0.012305322,-0.004374695,-0.019118117,-0.015354498,-0.006145771,0.009764064,-0.001105104,-0.002724273,-0.000991356,-0.016477174,-0.019004817,-0.016280037,-0.001702448,0.000365456,-0.003193327,0.011772035,0.033347078,0.005929033,0.024672692,-0.013994709,-0.017572726,-0.005684465,0.019607467,0.010780227,0.00010942,0.015590516,6.01E-05,0.047498916,0.008115453,-0.027347173,0.006212902,0.001590093,0.013524612,-0.00029622,-0.02758655,0.013094218,-0.023158246,-0.002020093,-0.025292387,-0.00770722,0.010601213,-0.009516939,0.0202144,0.00442768,-0.003147847
9/3/15,0.005109033,-0.023672763,0.000762162,0.0123712,0.004164987,0.004662715,0.015586176,0.000804453,-0.000566798,0.008157963,-0.00796029,-0.004173742,0.033913608,-0.010824079,-0.024125053,-0.024422771,0.007094672,0.004819877,-0.010645672,0.00353359,-0.014655006,-0.007736694,0.024501457,-0.011524062,-0.003046263,0.00257759,0.010370841,0.007441733,-0.002950203,-0.003197488,-0.000277712,0.021093731,0.012640659,0.003121655,-0.003608583,-0.005931403,-0.038589134,0.007824557,-0.005559372,-0.022936528,-0.012678228,0.001343249,0.009464904,-0.002495963,-0.002872843,-0.002796112,0.009745238,-0.012371292,0.008008141,0.008982861
9/4/15,-0.019894709,-0.007119204,-0.019545683,0.004826157,-0.00683675,-0.000209172,0.005828269,-0.006102604,0.003344117,-0.022200282,0.011110995,0.014565903,0.005534675,0.000475654,-0.003362803,-0.019938642,-0.026331877,-0.000239916,-0.006938633,0.001441365,-0.018436678,-0.029856517,-0.004393217,-0.02574492,0.020071361,0.006730179,0.020063389,-0.015278631,0.011884525,0.006618998,-0.004660545,0.021628712,0.001774614,0.001056866,0.009968779,0.015785278,0.001664918,-0.025630473,-0.009936153,0.014401879,0.000878068,0.013680412,0.016803587,-0.006896287,0.009639759,0.011228789,0.014153774,-0.018352034,0.006167355,-0.020322229
9/5/15,-0.038297042,0.006931921,0.006893284,0.009868321,0.014676349,-0.018927028,0.00579652,-0.003906206,0.005965345,0.012755042,-0.010980006,0.000417764,-0.004104324,-0.003427411,0.002516554,0.002947121,0.033443493,0.025185468,-0.009324897,-0.014364637,0.016393592,-0.001873799,-0.017029605,-0.008781,-0.001641244,0.019439107,0.00946025,-0.005901771,-0.014762383,0.006822296,0.027237121,-0.008861446,-0.012188057,0.001098013,0.00611504,-0.000845386,0.003712314,0.002489995,0.048707094,0.036635741,-0.02809258,-0.008012948,-0.008778305,-0.015859182,-0.002191824,0.002512958,0.002235596,0.001203965,0.008745695,0.013044953
9/6/15,0.017165772,0.000663957,-0.002187396,0.00895212,-0.010649828,0.001263857,-0.000386185,-0.018501319,0.032011914,0.022216621,0.017324561,-0.013891342,0.008621185,-0.01759583,-0.000505192,-0.011647918,0.004454535,-0.014582248,0.003551776,0.002555062,-0.004969821,-0.018418879,0.018402797,0.014546191,0.014148238,0.001410908,-0.002798592,-0.017228566,0.014776728,-0.003010435,-0.012173057,0.007250451,-0.04201302,-5.77E-05,0.001249131,0.024267038,-0.008853668,0.003688361,-0.029093658,0.012013719,-0.01576192,0.02001248,-0.002909972,0.006721953,-0.000826176,0.013659955,-0.002089933,-0.000616024,-0.040065639,0.00053226
9/7/15,-0.011940314,-0.011816163,-0.010956849,-0.002431812,-0.009297783,-0.005389599,-0.001337024,0.004460596,-0.009418576,0.007580971,-0.000368696,0.02097255,0.005005597,0.014576959,0.017804276,-0.011039088,0.017146949,-0.003390509,-0.024349347,0.017646258,-0.001002045,-0.018775127,-0.004143536,-0.015846992,0.005114684,0.0009309,0.011320307,0.02861818,-0.029266764,0.005664794,-0.000431698,-0.008298886,0.000848294,-0.006804144,-0.00792425,-0.018672932,-0.003293438,-0.005854247,0.013934134,0.0229374,0.025466576,-0.000216059,-0.006167429,0.006788481,0.005935135,0.010443894,0.012809834,0.008549374,-0.010443413,0.015747218
9/8/15,-0.011431266,8.02E-06,-0.005342167,0.018728951,0.008437206,0.003632368,0.001946544,-0.004515341,-0.008557744,0.006395039,0.02280849,-0.031193339,0.011521975,0.032373143,0.018886011,0.007865119,-0.007244823,0.003281577,-0.031513089,0.026116866,-0.007893633,0.002518157,0.008410382,0.017557518,0.000693334,0.00073351,0.023195583,0.007357786,0.007402021,0.021905945,-0.005173233,0.01117308,0.007063715,0.002593215,0.010580027,0.001166531,-0.017661939,0.004549746,0.01566428,-0.003499074,0.004680519,-0.000118645,0.010426809,0.005226679,0.017591533,0.003424878,-0.000524923,-0.004712384,0.001827946,0.006063988
9/9/15,-0.010620058,-0.0190197,0.007313781,0.000829261,-0.000587655,-0.006916901,-0.01273234,0.010852877,-0.017338732,0.040127169,-0.000566402,0.0067781,0.007042457,-0.006473235,-0.005970852,0.012260225,0.016495754,-0.003455193,-0.001322918,-0.003363586,0.013945661,-0.013131084,0.00652482,0.012302188,0.012955079,0.023018342,-0.015785008,-0.014359775,-0.01043013,-0.016482163,-0.00441861,-0.000819268,0.003139761,-0.000430199,-0.01563737,-0.004681335,-0.009813843,-0.001948946,0.00099021,0.004747517,0.019915686,-0.00642783,0.011671555,-0.012131004,0.00683122,0.000891156,-0.013509228,-0.009604617,0.01928193,-0.012269049
9/10/15,-0.003152461,0.003066098,-0.017766337,-0.013780327,0.014978352,0.028266584,-0.009709532,0.023892755,0.00982006,0.00435493,-0.002433334,0.010910216,-0.00858013,0.024703866,0.008051009,-0.022569371,-0.02711973,0.009887803,-0.026365888,0.004630928,-0.017604823,0.006115447,-0.014619704,-0.001365445,0.006104912,-0.015725,-0.012325028,-0.00020931,-0.0100761,-0.015646497,-0.00414527,-0.004382977,-0.01846554,-0.018914821,0.022631207,-0.011343046,0.006944436,0.019432381,0.005563438,0.023833813,0.006232945,0.007126321,-0.008420816,-0.031492689,0.007440162,-0.012770494,-0.007097928,-0.000988184,0.009011832,-0.012361765
9/11/15,0.013769831,-0.00236211,0.016996004,-0.003775044,0.021696496,-0.000628014,-0.003633454,0.018133211,0.016719157,-0.007634497,-0.000254034,0.002924875,-0.011500876,-0.001480796,0.003221608,-0.006007189,-0.014032125,0.001896375,-0.014197317,-0.025892135,-0.002812073,-0.016804717,0.010409471,-0.002523624,-0.015326187,0.013295143,0.002368974,0.001342744,-0.007104621,0.007801031,0.023047158,-0.00675663,0.01404335,-0.005136974,-0.006078657,-0.000488399,0.010909945,-0.003184728,-0.011801774,0.026025009,-0.003159166,-0.013007112,0.003891834,0.006707597,-0.005765612,0.006639629,-0.011554639,-0.000840122,-0.001807858,0.015570838
9/12/15,0.017523183,0.011145891,-0.00402879,0.005435074,-0.002192922,0.031749073,0.002612287,0.001547219,0.009937351,-0.009872572,0.009278967,0.013391014,0.01287309,0.000747425,0.013202793,-0.024643634,-0.020703165,0.009048106,-0.006396069,-0.000580549,0.027556476,0.009634912,0.016636903,-0.015477579,0.011935487,0.001780019,-0.010953952,-0.001077907,0.00173607,-0.011297915,0.013447305,-0.004796995,0.000370308,-0.008167142,0.01838514,-0.000989108,0.017378177,0.008457575,-0.012565145,-0.005543426,0.009031183,0.011737411,0.023089142,-0.005159614,-0.007794072,0.002242126,-0.018578833,0.006852862,0.02039083,-0.001382791
9/13/15,-0.014340698,0.000359725,0.004764278,0.00539835,-0.000550071,0.012523913,0.008830271,-0.011411306,-0.003511484,-0.028333826,0.004224978,0.013560363,0.006163463,-0.025149184,-0.012821925,-0.027283034,-0.015660965,0.006465196,0.010848584,-0.000930638,0.027409825,0.006271409,-0.026544352,0.017946363,-0.010185556,-0.01682797,0.019300845,-0.004266651,0.009013772,0.001603969,-0.004965185,-0.004153217,0.014668445,-0.011306176,-0.016908327,0.003390034,0.012344699,0.012921565,-0.005148598,-0.004988637,-0.00544712,0.003777993,-0.003723651,0.000476208,-0.001728629,0.01591954,0.020523731,0.000969527,0.008604796,0.00144466
9/14/15,0.005259641,-0.002545916,0.017956872,-0.025591715,-0.001957742,-0.011305409,0.007875156,0.010242926,0.012794304,-0.013213346,0.004976053,0.0043484,0.000366253,-0.029459417,-0.001651968,0.006494196,-0.004715297,-0.019873239,-0.011789855,-7.42E-05,-0.019941056,-0.020967481,0.004438761,-0.021705507,0.012244083,0.016506982,-0.027297451,0.01932365,0.001019762,-0.018694028,-0.008950784,0.016955077,0.006075882,-0.017804127,0.002066097,0.012142723,-0.001618579,0.02407648,-0.004874064,-0.031526852,0.01228051,-0.019378872,-0.017792038,0.003354081,-0.013913128,-0.009300555,-0.00043156,0.001965196,0.014352968,0.006452632
9/15/15,-0.001350104,0.010613718,0.006070682,0.013352767,0.005439875,0.010627768,-0.003110261,-0.015803065,-0.017771143,-0.016099354,0.009920071,-0.001953497,0.015095156,0.022588958,0.019925081,0.0004839,-0.002408752,0.001702082,-0.019165172,-0.005796356,-0.019671298,0.008823701,0.003419927,0.033229551,-0.010292385,0.032500516,0.010415787,-0.000646883,0.018574103,0.00060653,0.007172808,0.012319004,0.014015496,-0.001178531,-0.006833676,0.025765645,0.002917476,-0.01247429,-0.017701768,0.005527835,-0.00875495,0.007412205,0.001127389,-0.006139688,0.011934534,0.008075173,-0.006282113,0.003123077,-0.015511398,0.018324415
9/16/15,0.003760585,0.009855104,-0.007271479,-0.011273901,0.001610437,0.000664877,0.006488202,-0.009147898,-0.025041686,0.00015944,0.011231319,-0.013543664,0.005478974,0.011225193,-0.02126456,-0.007148629,-0.002858619,-0.005929661,-5.10E-05,0.01857221,-0.029721597,-0.019217576,-0.002130994,0.01202258,0.013146809,-0.002022245,0.004382528,-0.002996586,-0.01738107,0.013319726,-0.017809387,0.018543549,0.00338252,0.005704048,0.000814288,-0.01213621,0.004213296,0.025029738,0.006587373,0.004476263,0.021694404,0.003722207,-0.016546556,0.000159582,0.011933305,-0.003406328,-0.001518768,0.011166374,-0.010258752,0.008269165
